Date,USD/INR,BSE Sensex,Gold Price
01-19-2018,63.83,35511.58,1333.1
01-18-2018,63.87,35260.29,1327.2
01-17-2018,63.89,35081.82,1339.2
01-16-2018,64.02,34771.05,1337.1
01-15-2018,63.52,34843.51,1341.8
01-12-2018,63.61,34592.39,1337.4
01-11-2018,63.69,34503.49,1334.9
01-10-2018,63.63,34433.07,1322.5
01-09-2018,63.67,34443.19,1319.3
01-08-2018,63.48,34352.79,1313.7
01-05-2018,63.34,34153.85,1320.4
01-04-2018,63.4,33969.64,1322.3
01-03-2018,63.51,33793.38,1321.6
01-02-2018,63.46,33812.26,1318.5
01-01-2018,63.68,33812.75,1316.1
12-29-2017,63.84,34056.83,1308.7
12-28-2017,64.08,33848.03,1309.3
12-27-2017,64.12,33911.81,1297.2
12-26-2017,64.05,34010.61,1291.4
12-25-2017,64.02,33940.3,1287.5
12-22-2017,64.02,33756.28,1277.9
12-21-2017,64.02,33777.38,1278.8
12-20-2017,64.12,33836.74,1270.6
12-19-2017,64.06,33601.68,1269.6
12-18-2017,64.21,33462.97,1264.2
12-15-2017,64.08,33246.7,1265.5
12-14-2017,64.34,33053.04,1257.5
12-13-2017,64.46,33227.99,1257.1
12-12-2017,64.41,33455.79,1248.6
12-11-2017,64.36,33250.3,1241.7
12-08-2017,64.48,32949.21,1246.9
12-07-2017,64.57,32597.18,1248.4
12-06-2017,64.53,32802.44,1253.1
12-05-2017,64.36,32869.72,1266.1
12-04-2017,64.38,32832.94,1264.9
12-01-2017,64.52,33149.35,1277.7
11-30-2017,64.49,33602.76,1282.3
11-29-2017,64.36,33618.59,1276.7
11-28-2017,64.41,33724.44,1286.2
11-27-2017,64.48,33679.24,1299.2
11-24-2017,64.68,33588.08,1298.9
11-23-2017,64.57,33561.55,1291.8
11-22-2017,64.88,33478.35,1291.66
11-21-2017,64.88,33359.9,1296.8
11-20-2017,65.1,33342.8,1286.2
11-17-2017,65.02,33106.82,1275.3
11-16-2017,65.3,32760.44,1296.5
11-15-2017,65.27,32941.87,1278.2
11-14-2017,65.41,33033.56,1277.7
11-13-2017,65.44,33314.56,1282.9
11-10-2017,65.19,33250.93,1278.9
11-09-2017,64.98,33218.81,1274.2
11-08-2017,64.92,33370.76,1287.5
11-07-2017,65.06,33731.19,1283.7
11-06-2017,64.63,33685.56,1275.8
11-03-2017,64.56,33573.22,1281.6
11-02-2017,64.58,33600.27,1269.2
11-01-2017,64.57,33213.13,1278.1
10-31-2017,64.75,33266.16,1277.3
10-30-2017,64.86,33157.22,1270.5
10-27-2017,65.04,33147.13,1277.7
10-26-2017,64.84,33042.5,1271.8
10-25-2017,64.93,32607.34,1269.6
10-24-2017,65.09,32506.72,1279
10-23-2017,65.02,32572.93,1278.3
10-20-2017,65.04,32584.35,1280.9
10-19-2017,65,32609.16,1280.5
10-18-2017,65.06,32633.64,1290
10-17-2017,65.03,32432.69,1283
10-16-2017,64.7,32182.22,1286.2
10-13-2017,64.7,31833.99,1303
10-12-2017,65.06,31924.41,1304.6
10-11-2017,65.16,31846.89,1296.5
10-10-2017,65.25,31814.22,1288.9
10-09-2017,65.36,31592.03,1293.8
10-06-2017,65.4,31671.71,1285
10-05-2017,65.15,31497.38,1274.9
10-04-2017,65.03,31283.72,1273.2
10-03-2017,65.49,31282.48,1276.8
10-02-2017,65.31,31159.81,1274.6
09-29-2017,65.31,31599.76,1275.8
09-28-2017,65.47,31626.63,1284.8
09-27-2017,65.72,31922.44,1288.7
09-26-2017,65.46,32370.04,1287.8
09-25-2017,65.13,32400.51,1301.7
09-22-2017,64.8,32402.37,1311.5
09-21-2017,64.81,32423.76,1297.5
09-20-2017,64.29,32272.61,1294.8
09-19-2017,64.3,32241.93,1316.4
09-18-2017,64.16,32186.41,1310.6
09-15-2017,64.11,32158.66,1310.8
09-14-2017,64.12,31882.16,1325.2
09-13-2017,64.01,31687.52,1329.3
09-12-2017,64.03,31662.74,1328
09-11-2017,63.94,31661.97,1332.7
09-08-2017,63.79,31809.55,1335.7
09-07-2017,64.02,31702.25,1351.2
09-06-2017,64.06,31892.23,1350.3
09-05-2017,64.11,31730.49,1339
09-04-2017,64.04,31646.46,1344.5
09-01-2017,64.03,31388.39,1338.08
08-31-2017,63.94,31750.82,1341.22
08-30-2017,63.99,31596.06,1330.4
08-29-2017,64.02,31568.01,1322.2
08-28-2017,63.91,31291.85,1314.1
08-25-2017,64.01,31258.85,1318.9
08-24-2017,64.05,31524.68,1315.3
08-23-2017,64.05,31795.46,1297.9
08-22-2017,64.07,31770.89,1292
08-21-2017,64.11,31449.03,1294.7
08-18-2017,64.1,31213.59,1291
08-17-2017,64.17,31531.33,1296.7
08-16-2017,64.17,31797.84,1291.6
08-15-2017,64.12,32014.19,1292.4
08-14-2017,64.09,32273.67,1282.9
08-11-2017,64.14,32325.41,1279.7
08-10-2017,64.1,32237.88,1290.4
08-09-2017,63.86,32476.74,1294
08-08-2017,63.69,32575.17,1290.1
08-07-2017,63.84,32514.94,1279.3
08-04-2017,63.68,32309.88,1262.6
08-03-2017,63.71,32383.3,1264.7
08-02-2017,63.64,32382.46,1264.6
08-01-2017,64.1,32228.27,1274.4
07-31-2017,64.2,32245.87,1278.4
07-28-2017,64.12,32028.89,1279.4
07-27-2017,64.13,31904.4,1273.4
07-26-2017,64.36,31955.35,1275.3
07-25-2017,64.39,31710.99,1266.5
07-24-2017,64.4,32074.78,1255.6
07-21-2017,64.39,32020.75,1258.5
07-20-2017,64.38,32037.38,1254.3
07-19-2017,64.27,31804.82,1254.9
07-18-2017,64.32,31747.09,1245.5
07-17-2017,64.35,31715.64,1242
07-14-2017,64.42,31360.63,1241.9
07-13-2017,64.46,31369.34,1233.7
07-12-2017,64.48,31245.56,1227.5
07-11-2017,64.57,31209.79,1217.3
07-10-2017,64.48,31221.62,1219.1
07-07-2017,64.63,30921.61,1214.7
07-06-2017,64.73,30857.52,1213.2
07-05-2017,64.8,30834.32,1209.7
07-04-2017,64.79,30958.25,1223.3
07-03-2017,64.85,31138.21,1221.7
06-30-2017,64.62,31290.74,1227.55
06-29-2017,64.66,31283.64,1219.2
06-28-2017,64.53,31297.53,1242.3
06-27-2017,64.48,31311.57,1245.8
06-26-2017,64.44,31056.4,1249.1
06-23-2017,64.51,31075.73,1246.9
06-22-2017,64.61,31155.91,1246.4
06-21-2017,64.53,31103.49,1256.4
06-20-2017,64.54,31095.7,1249.4
06-19-2017,64.5,31262.06,1245.8
06-16-2017,64.47,31213.36,1243.5
06-15-2017,64.57,31271.28,1246.7
06-14-2017,64.24,31190.56,1256.5
06-13-2017,64.35,31309.49,1254.6
06-12-2017,64.48,31273.29,1275.9
06-09-2017,64.25,31137.59,1268.6
06-08-2017,64.25,31145.8,1268.9
06-07-2017,64.44,31159.4,1271.4
06-06-2017,64.43,31109.28,1279.5
06-05-2017,64.35,31028.21,1293.2
06-02-2017,64.42,30750.03,1297.5
06-01-2017,64.48,30301.64,1282.7
05-31-2017,64.51,30365.25,1280.2
05-30-2017,64.64,30570.97,1270.1
05-29-2017,64.54,30464.92,1275.4
05-26-2017,64.51,30434.79,1265.7
05-25-2017,64.56,30658.77,1266.69
05-24-2017,64.77,30582.6,1268.22
05-23-2017,64.9,30322.12,1271.4
05-22-2017,64.51,30188.15,1259.8
05-19-2017,64.57,30250.98,1256.5
05-18-2017,64.88,30248.17,1258.9
05-17-2017,64.13,29933.25,1264.8
05-16-2017,64.05,29926.15,1253.6
05-15-2017,64.07,29858.8,1252.8
05-12-2017,64.24,30126.21,1258.7
05-11-2017,64.41,29894.8,1236.4
05-10-2017,64.62,29921.18,1230
05-09-2017,64.68,29918.4,1227.7
05-08-2017,64.36,30029.74,1224.2
05-05-2017,64.32,30133.35,1218.9
05-04-2017,64.22,29943.24,1216.1
05-03-2017,64.17,29655.84,1227.1
05-02-2017,64.17,29365.3,1226.9
05-01-2017,64.26,29422.39,1228.6
04-28-2017,64.29,29336.57,1248.5
